date,n1,n2
2020-09-03,2268752578400,2539527317600
2020-09-06,1871467132800.0002,1880904321600
2020-09-10,1295383979200,1214443156800
2020-09-13,2060624659200,1900086720000
2020-09-17,2922168400000,3220008800000
2020-09-20,1047588307200,1154931321600
2020-09-24,2014752512400,1912392666000
2020-09-27,2388853416080,2735441941359.9995
2020-10-01,5877310593600,6303095388000
2020-10-04,7926850355200.001,8024716492800
2020-10-08,5824559930037.127,5183936119249.387
2020-10-15,13230404689245.49,13624616627412.768
2020-10-18,28974501816984.93,26168637989126.418
2020-10-22,29448506509869.16,29448506509869.16
2020-10-25,35439872150540.66,33986189576608.33
2020-10-29,37798145070583.805,35911477293613.62
2020-10-31,51312652700291.17,49117543468718.89
2020-11-01,46249853122868.516,48836785869991.92
2020-11-02,30663823120010.402,25508629702750.914
2020-11-04,24487891006107.875,22112212657159.55
2020-11-05,28065688611380.496,24657643485943.64
2020-11-06,38509497348136.984,33533370568754.31
2020-11-07,35351248227906.37,33868441462766.43
2020-11-08,33461791659737.617,27946750375170.645
2020-11-09,33436609324032.617,28372661072790.48
2020-11-10,30165357325757.324,30536148512923.953
2020-11-11,24106928389798.33,22601124655923.47
2020-11-12,34257125943165.074,38998913863019.37
2020-11-15,41130827656742.74,40743260527465.375
2020-11-16,40426780562164.16,32885021784456.367
2020-11-17,38866805000740.01,36042081388554.14
2020-11-18,43626947873316.75,35184134166993.11
2020-11-19,32636046091168.387,38231391214735.51
2020-11-22,22411006612755.168,22783800692585.367
2020-11-23,25341869786334.473,28078657233301.49
2020-11-24,24486091926529.617,21770561291235.918
2020-11-25,29088966033871.09,30986032919746.07
2020-11-26,28566740757254.535,32540298369746.58
2020-11-27,33941149673720.84,32770439790590.19
2020-11-28,31574441231723.938,35346734889169.03
2020-11-29,35683668174688.37,33634318636817.16
2020-11-30,34646674777209.195,30691537150041.656
2020-12-01,44016676077077.875,44543277251866.266
2020-12-02,34605814344813.18,33265646560470.05
2020-12-03,30030159215115.887,32070945832581.113
2020-12-04,31158386194896.03,27279281660785.266
2020-12-05,38875180181069.78,37085652046050.46
2020-12-06,41112801909458.45,33485255822002.49
2020-12-07,44021595183043.125,40220364163854.67
2020-12-08,37114102975708.82,34305180466572.18
2020-12-09,27404554716920.066,27955536931045.117
2020-12-10,31494440665212.367,31553117172206.945
2020-12-11,46072878956518.99,44277913087807.08
2020-12-12,39024024233449.914,37831779940079.984
2020-12-13,50088751185052.54,34253034407484.312
2020-12-14,37304667930301.016,33832830547591.695
2020-12-15,41739250814250.164,38110440311417.016
2020-12-16,33413615298795.473,33745502241252.88
2020-12-17,48215997124765.45,48696504781598.95
2020-12-18,49581715986003.414,49067305680957.89
2020-12-19,34133839588076.406,33721319626651.926
2020-12-20,25123450811674.29,24734955288666.74
2020-12-21,26944718352085.723,26404817941583.355
2020-12-22,37480597539455.66,44106488918192.164
2020-12-23,29813719023104.47,25654957595070.867
2020-12-24,40361387543493.31,33978903592720.49
2020-12-25,25541770506295.477,22540895554567.586
2020-12-26,29569432219966.113,29571502012388.312
2020-12-27,26728622917530.766,29794839188623.465
2020-12-28,41825828716822.71,35427631441180.28
2020-12-29,26187893480509.133,24816188725406.332
2020-12-30,18435834609103.93,16090654022258.36
2020-12-31,17414741182380.191,20001010670752.69
2021-01-01,31908242970531.586,27418939481630.242
2021-01-02,20782504169804.016,21216554600549.195
2021-01-03,34638277998420.26,32910356899931.695
2021-01-04,28489157107080.883,24227199151406.062
2021-01-05,23355046436238.164,27462502829242.99
2021-01-06,23969944802874.805,22539343167040.785
2021-01-07,18009290428350.66,17559959433524.744
2021-01-08,22039164784742.797,20760110113575.074
2021-01-09,21336039320243.6,18466964365072.707
2021-01-10,56019083608148.85,53709919695840.62
2021-01-11,20660330150563.645,16723470668106.162
2021-01-12,14027691319993.955,8433632040061.688
2021-01-14,8735406169106.806,6929012339923.847
2021-01-17,14885805233387.309,12601034961717.514
2021-01-19,6304813684563.335,6103820127618.377
